,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
10,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.16666666666666666,0.2465277777777778,0.1111111111111111,0.6666666666666666,2.7042253521126756,0.07002314814814814,2.2604166666666665
11,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.2465277777777778,0.16666666666666666,0.1111111111111111,0.45070422535211263,2.704225352112676,0.07002314814814814,1.517094017094017
12,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY SUGAR BOWL GREEN'}),0.16666666666666666,0.08680555555555555,0.07291666666666667,0.43750000000000006,5.040000000000001,0.058449074074074084,1.6234567901234567
13,frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.08680555555555555,0.16666666666666666,0.07291666666666667,0.8400000000000001,5.040000000000001,0.058449074074074084,5.208333333333337
14,"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.09375,0.125,0.08680555555555555,0.9259259259259259,7.407407407407407,0.07508680555555555,11.8125
15,"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.11458333333333333,0.09722222222222222,0.08680555555555555,0.7575757575757576,7.792207792207792,0.07566550925925926,3.7239583333333335
16,"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.09027777777777778,0.16666666666666666,0.08680555555555555,0.9615384615384616,5.76923076923077,0.07175925925925926,21.666666666666682
17,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.16666666666666666,0.09027777777777778,0.08680555555555555,0.5208333333333334,5.76923076923077,0.07175925925925926,1.8985507246376814
18,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.09722222222222222,0.11458333333333333,0.08680555555555555,0.8928571428571428,7.792207792207792,0.07566550925925926,8.263888888888884
19,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",0.125,0.09375,0.08680555555555555,0.6944444444444444,7.407407407407407,0.07508680555555555,2.965909090909091
20,"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.1111111111111111,0.125,0.08680555555555555,0.78125,6.25,0.07291666666666666,4.0
21,"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'REGENCY CAKESTAND 3 TIER'}),0.11458333333333333,0.2465277777777778,0.08680555555555555,0.7575757575757576,3.0729833546734953,0.05855758101851852,3.1080729166666665
22,"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.08680555555555555,0.16666666666666666,0.08680555555555555,1.0,6.0,0.07233796296296297,inf
23,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.16666666666666666,0.08680555555555555,0.08680555555555555,0.5208333333333334,6.000000000000001,0.07233796296296297,1.9057971014492754
24,frozenset({'REGENCY CAKESTAND 3 TIER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.2465277777777778,0.11458333333333333,0.08680555555555555,0.352112676056338,3.0729833546734953,0.05855758101851852,1.366621376811594
25,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",0.125,0.1111111111111111,0.08680555555555555,0.6944444444444444,6.25,0.07291666666666666,2.9090909090909087
